age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,capital
30대,normal,level3, Divorced, Transport-moving, Not-in-family, White, Male,66, United-States,0,zero
50대,normal,level2, Widowed, Other-service, Not-in-family, White, Female,15, United-States,0,zero
40대,normal,level3, Divorced, Sales, Not-in-family, White, Male,50, United-States,1,zero
60대,normal,level2, Married-civ-spouse, Protective-serv, Husband, White, Male,36, United-States,0,zero
20대,normal,level3, Never-married, Prof-specialty, Own-child, White, Female,6, United-States,0,zero
40대,other,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States,1,zero
30대,normal,level2, Never-married, Craft-repair, Own-child, White, Male,40, United-States,0,zero
40대,normal,level4, Never-married, Prof-specialty, Not-in-family, White, Male,50, United-States,0,zero
20대,normal,level3, Never-married,temp, Unmarried, Amer-Indian-Eskimo, Female,25, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Tech-support, Husband, White, Male,42, United-States,1,zero
60대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,1,zero
50대,normal,level2, Married-civ-spouse, Exec-managerial, Husband, White, Male,56, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,50, United-States,1,zero
50대,normal,level3, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,1,zero
20대,normal,level3, Never-married, Other-service, Own-child, White, Female,35, United-States,0,zero
50대,normal,level2, Married-civ-spouse,temp, Husband, Black, Male,40, United-States,0,zero
30대,normal,level3, Divorced, Exec-managerial, Unmarried, White, Male,60, United-States,1,zero
20대,normal,level3, Divorced, Prof-specialty, Not-in-family, White, Female,44, United-States,0,zero
20대,normal,level2, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, Germany,1,zero
20대,normal,level2, Never-married, Sales, Own-child, White, Male,48, United-States,0,zero
50대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
40대,normal,level4, Married-civ-spouse, Prof-specialty, Wife, Black, Female,35, United-States,1,zero
20대,normal,level3, Never-married, Adm-clerical, Not-in-family, Black, Female,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,1,zero
40대,normal,level3, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,0,zero
30대,normal,level3, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,40, Philippines,0,zero
20대,normal,level3, Never-married, Adm-clerical, Not-in-family, White, Male,32, United-States,0,zero
30대,other,level3, Divorced, Farming-fishing, Not-in-family, White, Male,60, United-States,0,zero
20대,normal,level2, Never-married, Sales, Unmarried, Black, Female,40, United-States,0,negative
40대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, Other, Male,40, Peru,1,zero
20대,normal,level2, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,35, United-States,0,zero
40대,normal,level2, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States,0,positive
30대,normal,level3, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,1,zero
30대,normal,level2, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States,0,zero
30대,normal,level2, Separated, Other-service, Unmarried, White, Female,40, United-States,0,zero
30대,normal,level2, Divorced, Other-service, Unmarried, White, Female,37, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Husband, White, Male,36, United-States,0,zero
20대,normal,level4, Never-married, Exec-managerial, Not-in-family, White, Female,25, United-States,0,zero
60대,normal,level3, Married-spouse-absent,temp, Not-in-family, White, Male,40, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,45, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, Ecuador,1,zero
30대,normal,level2, Divorced, Sales, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,1,zero
20대,normal,level2, Never-married, Transport-moving, Not-in-family, Black, Male,40, United-States,0,zero
30대,normal,level2, Divorced, Craft-repair, Unmarried, White, Male,99, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
30대,normal,level3, Divorced, Tech-support, Unmarried, Black, Female,40, United-States,0,negative
60대,normal,level3, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,25, Iran,0,zero
30대,normal,level3, Never-married, Other-service, Own-child, White, Male,20, United-States,0,zero
10대,normal,level2, Never-married, Adm-clerical, Own-child, White, Female,15, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,1,zero
30대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,1,zero
50대,normal,level2, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,0,zero
20대,normal,level3, Never-married, Prof-specialty, Own-child, White, Female,36, United-States,0,zero
30대,normal,level2, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female,35, Thailand,0,zero
30대,normal,level3, Never-married, Sales, Not-in-family, White, Female,42, United-States,0,zero
20대,normal,level2, Never-married, Machine-op-inspct, Unmarried, Black, Female,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States,0,negative
30대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,1,positive
40대,normal,level4, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,1,zero
20대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States,0,zero
40대,normal,level2, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States,0,zero
10대,normal,level2, Never-married, Handlers-cleaners, Own-child, White, Male,52, United-States,0,zero
40대,normal,level2, Widowed, Sales, Not-in-family, White, Female,40, United-States,0,zero
40대,other,level3, Married-civ-spouse, Sales, Husband, White, Male,55, United-States,0,zero
20대,normal,level3, Never-married, Adm-clerical, Not-in-family, Other, Male,40, United-States,0,positive
50대,normal,level3, Never-married, Sales, Unmarried, White, Female,32, United-States,0,zero
30대,normal,level2, Divorced, Other-service, Unmarried, White, Female,40, United-States,0,zero
20대,normal,level2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, Black, Male,50, United-States,1,zero
60대,normal,level3, Never-married, Craft-repair, Not-in-family, White, Female,39, United-States,1,positive
30대,normal,level2, Never-married, Adm-clerical, Unmarried, White, Female,40, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,40, Philippines,1,negative
30대,normal,level3, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States,1,positive
30대,normal,level3, Divorced, Other-service, Not-in-family, Black, Female,30, Dominican-Republic,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Female,8, United-States,0,zero
10대,normal,level3, Never-married,temp, Own-child, White, Female,45, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Wife, Black, Female,48, United-States,1,zero
60대,normal,level4, Married-civ-spouse,temp, Husband, White, Male,2, United-States,0,zero
30대,normal,level2, Separated, Exec-managerial, Not-in-family, White, Male,40, United-States,1,positive
40대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Never-married, Exec-managerial, Unmarried, White, Male,40, United-States,1,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,40, Philippines,0,zero
40대,normal,level3, Married-civ-spouse,temp, Husband, White, Male,45, United-States,0,zero
60대,normal,level2, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States,1,zero
30대,normal,level3, Widowed, Adm-clerical, Unmarried, Black, Female,40, United-States,0,zero
50대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,48, Germany,1,positive
30대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,1,zero
40대,normal,level3, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, Haiti,1,zero
20대,normal,level2, Never-married, Transport-moving, Own-child, White, Female,15, United-States,0,zero
60대,normal,level2, Widowed,temp, Not-in-family, White, Female,30, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,47, United-States,1,zero
20대,normal,level2, Never-married, Other-service, Own-child, White, Female,20, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,60, United-States,1,zero
30대,normal,level3, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States,0,zero
60대,normal,level2, Married-civ-spouse,temp, Husband, White, Male,50, United-States,1,zero
10대,normal,level3, Never-married,temp, Own-child, White, Female,20, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,42, United-States,0,zero
60대,normal,level3, Never-married, Prof-specialty, Not-in-family, White, Female,35, United-States,0,zero
20대,normal,level2, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,1,negative
50대,normal,level3, Widowed, Exec-managerial, Not-in-family, White, Female,40, United-States,0,zero
60대,normal,level3, Divorced,temp, Not-in-family, White, Female,40, United-States,1,zero
40대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,1,positive
40대,normal,level3, Separated, Transport-moving, Not-in-family, White, Male,35, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,1,negative
50대,normal,level2, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,1,negative
40대,normal,level2, Married-civ-spouse, Transport-moving, Husband, White, Male,42, United-States,0,zero
60대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,1,zero
30대,normal,level3, Separated, Other-service, Unmarried, White, Female,40, United-States,0,zero
20대,normal,level2, Never-married, Other-service, Not-in-family, White, Male,45, United-States,0,negative
40대,normal,level3, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,0,zero
50대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,1,zero
50대,normal,level1, Married-spouse-absent, Other-service, Unmarried, White, Female,45, Poland,0,zero
60대,normal,level2, Married-civ-spouse, Protective-serv, Husband, White, Male,24, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,1,zero
40대,normal,level2, Married-civ-spouse, Adm-clerical, Wife, White, Female,20, United-States,1,zero
30대,normal,level2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Separated, Sales, Not-in-family, White, Female,40, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Sales, Husband, White, Male,60, United-States,1,zero
30대,normal,level3, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States,1,negative
20대,normal,level3, Never-married, Sales, Other-relative, Black, Female,40, United-States,0,zero
30대,normal,level2, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States,0,zero
70대,normal,level2, Widowed, Adm-clerical, Not-in-family, White, Female,40, United-States,0,zero
50대,normal,level4, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,1,zero
30대,normal,level2, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States,0,zero
20대,other,level3, Never-married, Adm-clerical, Own-child, White, Female,50, United-States,0,zero
20대,normal,level2, Never-married, Handlers-cleaners, Unmarried, Black, Female,40, United-States,0,zero
20대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,1,zero
40대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Scotland,1,zero
30대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,1,zero
40대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States,0,zero
30대,normal,level3, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,0,positive
30대,normal,level1, Separated, Farming-fishing, Unmarried, Black, Male,40, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,1,zero
30대,normal,level2, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, Black, Male,40, United-States,0,zero
10대,normal,level2, Never-married, Sales, Not-in-family, Black, Female,30, United-States,0,zero
20대,normal,level2, Never-married, Prof-specialty, Other-relative, White, Female,40, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Female,20, United-States,0,zero
20대,normal,level3, Never-married, Sales, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level2, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States,0,negative
40대,normal,level3, Married-civ-spouse, Craft-repair, Wife, Black, Female,35, United-States,1,zero
50대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,positive
30대,normal,level4, Never-married, Prof-specialty, Own-child, White, Female,40, United-States,0,zero
10대,normal,level3, Never-married,temp, Own-child, White, Female,15, United-States,0,positive
40대,normal,level2, Married-civ-spouse, Transport-moving, Husband, White, Male,65, United-States,1,zero
10대,normal,level2, Never-married, Sales, Not-in-family, White, Female,20, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States,0,zero
20대,normal,level3, Never-married, Tech-support, Own-child, White, Female,24, United-States,0,zero
40대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,54, United-States,0,zero
40대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,48, United-States,1,negative
20대,normal,level3, Never-married, Other-service, Not-in-family, White, Female,30, United-States,0,zero
30대,normal,level4, Married-civ-spouse, Prof-specialty, Wife, White, Female,35, United-States,1,zero
50대,normal,level2, Never-married, Craft-repair, Not-in-family, White, Male,25, United-States,0,zero
30대,normal,level3, Married-civ-spouse,temp, Wife, White, Female,60, United-States,1,positive
40대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Italy,1,zero
40대,normal,level3, Never-married, Adm-clerical, Own-child, White, Female,37, United-States,0,zero
30대,normal,level4, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,1,zero
40대,normal,level2, Married-civ-spouse, Farming-fishing, Husband, White, Male,35, United-States,0,zero
70대,normal,level2, Widowed,temp, Not-in-family, White, Female,65, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,89, United-States,1,zero
40대,normal,level3, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,1,zero
20대,normal,level3, Never-married, Adm-clerical, Own-child, Black, Female,32, United-States,0,zero
20대,normal,level3, Never-married, Farming-fishing, Own-child, White, Male,60, United-States,0,zero
30대,normal,level2, Never-married, Other-service, Not-in-family, Black, Male,40, Jamaica,0,zero
40대,normal,level3, Never-married, Adm-clerical, Not-in-family, White, Female,60, United-States,0,zero
20대,normal,level3, Never-married, Sales, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level2, Never-married,temp, Not-in-family, White, Female,40, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Exec-managerial, Wife, White, Female,50, United-States,1,zero
40대,normal,level2, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States,1,negative
60대,other,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,1,zero
30대,normal,level3, Never-married, Machine-op-inspct, Not-in-family, White, Male,45, United-States,0,zero
30대,normal,level2, Separated, Machine-op-inspct, Unmarried, White, Male,40, United-States,0,zero
40대,normal,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States,1,zero
50대,normal,level2, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,45, United-States,1,positive
20대,normal,level3, Never-married, Prof-specialty, Not-in-family, Other, Female,40, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, Mexico,0,zero
20대,normal,level3, Never-married, Prof-specialty, Own-child, White, Female,40, United-States,0,zero
50대,normal,level4, Divorced,temp, Not-in-family, White, Male,1, United-States,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Female,32, United-States,0,zero
60대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,1,zero
60대,normal,level4, Married-civ-spouse, Adm-clerical, Husband, White, Male,34, United-States,1,zero
30대,normal,level3, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States,0,zero
20대,normal,level3, Never-married, Craft-repair, Not-in-family, White, Male,30, United-States,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Male,15, United-States,0,zero
20대,normal,level2, Divorced, Handlers-cleaners, Own-child, White, Female,40, United-States,0,zero
70대,normal,level4, Married-civ-spouse, Craft-repair, Husband, White, Male,30, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,1,zero
30대,other,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,55, United-States,1,zero
50대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States,0,zero
60대,normal,level3, Separated, Machine-op-inspct, Other-relative, Black, Female,37, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Never-married, Tech-support, Not-in-family, Black, Female,50, United-States,0,positive
20대,normal,level4, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,20, China,0,zero
10대,normal,level2, Never-married,temp, Own-child, White, Male,40, Portugal,0,zero
30대,normal,level3, Divorced, Sales, Unmarried, White, Female,40, United-States,0,zero
30대,normal,level2, Separated,temp, Not-in-family, White, Female,30, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Transport-moving, Husband, White, Male,55, United-States,1,positive
30대,normal,level2, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,1,positive
40대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,1,zero
30대,normal,level3, Divorced, Prof-specialty, Own-child, Asian-Pac-Islander, Female,40, United-States,0,zero
20대,normal,level3, Never-married, Other-service, Own-child, White, Male,25, Columbia,0,zero
60대,normal,level1, Married-civ-spouse, Transport-moving, Husband, White, Male,53, United-States,0,zero
40대,normal,level4, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States,1,negative
50대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,1,zero
30대,normal,level4, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Sales, Husband, White, Male,35, United-States,0,zero
30대,normal,level3, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,25, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Farming-fishing, Husband, White, Male,80, United-States,0,zero
50대,normal,level1, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,40, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States,1,zero
40대,normal,level4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Mexico,1,positive
20대,normal,level3, Never-married, Adm-clerical, Own-child, White, Male,40, United-States,0,zero
60대,normal,level2, Never-married, Adm-clerical, Unmarried, White, Female,40, United-States,0,zero
40대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States,0,zero
40대,normal,level2, Widowed,temp, Unmarried, White, Female,38, United-States,0,zero
20대,normal,level3, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level1, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,40, Mexico,0,zero
20대,normal,level2, Never-married, Other-service, Other-relative, White, Female,33, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
70대,normal,level1, Widowed,temp, Not-in-family, White, Male,2, United-States,0,zero
30대,normal,level3, Separated, Tech-support, Not-in-family, Black, Male,40, United-States,0,zero
50대,other,level4, Married-civ-spouse, Prof-specialty, Husband, White, Male,24, United-States,1,zero
50대,normal,level2, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,90, United-States,1,zero
20대,normal,level3, Never-married, Sales, Own-child, Black, Female,20, United-States,0,zero
20대,normal,level3, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,30, United-States,0,zero
30대,normal,level1, Never-married, Sales, Not-in-family, White, Male,43, Mexico,0,zero
20대,normal,level3, Never-married, Sales, Own-child, White, Female,40, United-States,0,zero
20대,normal,level2, Never-married, Craft-repair, Own-child, Black, Male,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Sales, Husband, White, Male,65, United-States,1,negative
20대,normal,level3, Never-married, Sales, Not-in-family, White, Female,45, United-States,0,positive
20대,normal,level3, Married-civ-spouse, Protective-serv, Husband, White, Male,46, United-States,1,zero
40대,normal,level2, Married-civ-spouse,temp, Husband, White, Male,40,temp,0,positive
30대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,1,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Male,16, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Adm-clerical, Wife, White, Female,20, United-States,1,zero
20대,normal,level3, Never-married, Priv-house-serv, Not-in-family, White, Female,50, Hungary,0,zero
20대,normal,level3, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,0,zero
30대,normal,level3, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Never-married, Sales, Own-child, White, Female,40, United-States,0,zero
20대,normal,level3, Never-married, Sales, Own-child, White, Female,36,temp,0,zero
30대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,0,zero
50대,normal,level3, Never-married, Sales, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level3, Never-married, Sales, Not-in-family, White, Female,50, United-States,0,zero
